participant,sentence_num,condition,animal,word,RT,sentence,word_num,word_length,position,RT_categorical,RT_categotical,rating,frequency
Par_A,5,match,cat,him,78,Joshua said that purring cats are one of the most relaxing things to him.,14,3,not critical,short,short,5.3,316902
Par_A,6,match,cat,there,62,There was a contented cat looking out from the bookstore window.,1,5,not critical,short,short,5.1,872620
Par_A,6,match,cat,was,122,There was a contented cat looking out from the bookstore window.,2,3,not critical,long,normal,5.1,344
Par_A,6,match,cat,a,48,There was a contented cat looking out from the bookstore window.,3,1,not critical,short,short,5.1,2136923
Par_A,6,match,cat,contented,76,There was a contented cat looking out from the bookstore window.,4,9,not critical,short,short,5.1,25102
Par_A,6,match,cat,cat,349,There was a contented cat looking out from the bookstore window.,5,3,critical,long,normal,5.1,3788
Par_A,6,match,cat,looking,107,There was a contented cat looking out from the bookstore window.,6,7,not critical,long,normal,5.1,194816
Par_A,6,match,cat,out,220,There was a contented cat looking out from the bookstore window.,7,3,not critical,long,normal,5.1,27
Par_A,6,match,cat,from,10,There was a contented cat looking out from the bookstore window.,8,4,not critical,short,short,5.1,88643
Par_A,6,match,cat,the,52,There was a contented cat looking out from the bookstore window.,9,3,not critical,short,short,5.1,96938
Par_A,6,match,cat,bookstore,234,There was a contented cat looking out from the bookstore window.,10,9,not critical,long,normal,5.1,9764
Par_A,6,match,cat,window,153,There was a contented cat looking out from the bookstore window.,11,6,not critical,long,normal,5.1,23486
Par_A,7,match,cat,the,6,The child told me that ginger cats are by far the cutest of them all.,1,3,not critical,short,short,4.9,96938
Par_A,7,match,cat,child,147,The child told me that ginger cats are by far the cutest of them all.,2,5,not critical,long,normal,4.9,34970
Par_A,7,match,cat,told,108,The child told me that ginger cats are by far the cutest of them all.,3,4,not critical,long,normal,4.9,127872
Par_A,7,match,cat,me,141,The child told me that ginger cats are by far the cutest of them all.,4,2,not critical,long,normal,4.9,609
Par_A,7,match,cat,that,245,The child told me that ginger cats are by far the cutest of them all.,5,4,not critical,long,normal,4.9,114
Par_A,7,match,cat,ginger,287,The child told me that ginger cats are by far the cutest of them all.,6,6,not critical,long,normal,4.9,505413
Par_A,7,match,cat,cats,181,The child told me that ginger cats are by far the cutest of them all.,7,4,not critical,long,normal,4.9,459498
Par_A,7,match,cat,are,71,The child told me that ginger cats are by far the cutest of them all.,8,3,not critical,short,short,4.9,291900
Par_A,7,match,cat,by,51,The child told me that ginger cats are by far the cutest of them all.,9,2,not critical,short,short,4.9,39147
Par_A,7,match,cat,far,259,The child told me that ginger cats are by far the cutest of them all.,10,3,not critical,long,normal,4.9,6
Par_A,7,match,cat,the,46,The child told me that ginger cats are by far the cutest of them all.,11,3,not critical,short,short,4.9,96938
Par_A,7,match,cat,cutest,252,The child told me that ginger cats are by far the cutest of them all.,12,6,not critical,long,normal,4.9,165536
Par_A,7,match,cat,of,80,The child told me that ginger cats are by far the cutest of them all.,13,2,not critical,short,short,4.9,5973437
Par_A,7,match,cat,them,47,The child told me that ginger cats are by far the cutest of them all.,14,4,not critical,short,short,4.9,274124
Par_A,7,match,cat,all,233,The child told me that ginger cats are by far the cutest of them all.,15,3,not critical,long,normal,4.9,2136923
Par_A,8,match,cat,a,73,A large tom cat was often seen hanging out near the butcher shop.,1,1,not critical,short,short,4.3,2136923
Par_A,8,match,cat,large,188,A large tom cat was often seen hanging out near the butcher shop.,2,5,not critical,long,normal,4.3,33965
Par_A,8,match,cat,tom,62,A large tom cat was often seen hanging out near the butcher shop.,3,3,not critical,short,short,4.3,5249
Par_A,8,match,cat,cat,122,A large tom cat was often seen hanging out near the butcher shop.,4,3,critical,long,normal,4.3,3788
Par_A,8,match,cat,was,163,A large tom cat was often seen hanging out near the butcher shop.,5,3,not critical,long,normal,4.3,344
Par_A,8,match,cat,often,212,A large tom cat was often seen hanging out near the butcher shop.,6,5,not critical,long,normal,4.3,36867
Par_A,8,match,cat,seen,12,A large tom cat was often seen hanging out near the butcher shop.,7,4,not critical,short,short,4.3,36014
Par_A,8,match,cat,hanging,382,A large tom cat was often seen hanging out near the butcher shop.,8,7,not critical,long,normal,4.3,2868
Par_A,8,match,cat,out,167,A large tom cat was often seen hanging out near the butcher shop.,9,3,not critical,long,normal,4.3,27
Par_A,8,match,cat,near,91,A large tom cat was often seen hanging out near the butcher shop.,10,4,not critical,short,short,4.3,17606
Par_A,8,match,cat,the,105,A large tom cat was often seen hanging out near the butcher shop.,11,3,not critical,long,normal,4.3,96938
Par_A,8,match,cat,butcher,301,A large tom cat was often seen hanging out near the butcher shop.,12,7,not critical,long,normal,4.3,842
Par_A,8,match,cat,shop,119,A large tom cat was often seen hanging out near the butcher shop.,13,4,not critical,long,normal,4.3,10310
Par_B,4,match,cat,mary,200,Mary saw a beautiful Siamese cat on her way home from work.,1,4,not critical,long,normal,4.8,6791
Par_B,4,match,cat,saw,27,Mary saw a beautiful Siamese cat on her way home from work.,2,3,not critical,short,short,4.8,24941
Par_B,4,match,cat,a,19,Mary saw a beautiful Siamese cat on her way home from work.,3,1,not critical,short,short,4.8,2136923
Par_B,4,match,cat,beautiful,219,Mary saw a beautiful Siamese cat on her way home from work.,4,9,not critical,long,normal,4.8,8307
Par_B,4,match,cat,siamese,205,Mary saw a beautiful Siamese cat on her way home from work.,5,7,not critical,long,normal,4.8,83
Par_B,4,match,cat,cat,13,Mary saw a beautiful Siamese cat on her way home from work.,6,3,critical,short,short,4.8,3788
Par_B,4,match,cat,on,28,Mary saw a beautiful Siamese cat on her way home from work.,7,2,not critical,short,short,4.8,717612
Par_B,4,match,cat,her,143,Mary saw a beautiful Siamese cat on her way home from work.,8,3,not critical,long,normal,4.8,301315
Par_B,4,match,cat,way,46,Mary saw a beautiful Siamese cat on her way home from work.,9,3,not critical,short,short,4.8,94797
Par_B,4,match,cat,home,107,Mary saw a beautiful Siamese cat on her way home from work.,10,4,not critical,long,normal,4.8,419572
Par_B,4,match,cat,from,14,Mary saw a beautiful Siamese cat on her way home from work.,11,4,not critical,short,short,4.8,88643
Par_B,4,match,cat,work,389,Mary saw a beautiful Siamese cat on her way home from work.,12,4,not critical,long,normal,4.8,405
Par_B,5,match,cat,joshua,83,Joshua said that purring cats are one of the most relaxing things to him.,1,6,not critical,short,short,5.3,193355
Par_B,5,match,cat,said,3,Joshua said that purring cats are one of the most relaxing things to him.,2,4,not critical,short,short,5.3,1108428
Par_B,5,match,cat,that,73,Joshua said that purring cats are one of the most relaxing things to him.,3,4,not critical,short,short,5.3,114
Par_B,5,match,cat,purring,286,Joshua said that purring cats are one of the most relaxing things to him.,4,7,not critical,long,normal,5.3,1530
Par_B,5,match,cat,cats,137,Joshua said that purring cats are one of the most relaxing things to him.,5,4,not critical,long,normal,5.3,459498
Par_B,5,match,cat,are,271,Joshua said that purring cats are one of the most relaxing things to him.,6,3,not critical,long,normal,5.3,291900
Par_B,5,match,cat,one,19,Joshua said that purring cats are one of the most relaxing things to him.,7,3,not critical,short,short,5.3,3009801
Par_B,5,match,cat,of,53,Joshua said that purring cats are one of the most relaxing things to him.,8,2,not critical,short,short,5.3,5973437
Par_B,5,match,cat,the,341,Joshua said that purring cats are one of the most relaxing things to him.,9,3,not critical,long,normal,5.3,96938
Par_B,5,match,cat,most,62,Joshua said that purring cats are one of the most relaxing things to him.,10,4,not critical,short,short,5.3,665
Par_B,5,match,cat,relaxing,101,Joshua said that purring cats are one of the most relaxing things to him.,11,8,not critical,long,normal,5.3,40472
Par_B,5,match,cat,things,152,Joshua said that purring cats are one of the most relaxing things to him.,12,6,not critical,long,normal,5.3,2565070
Par_B,5,match,cat,to,6,Joshua said that purring cats are one of the most relaxing things to him.,13,2,not critical,short,short,5.3,152045
Par_B,5,match,cat,him,10,Joshua said that purring cats are one of the most relaxing things to him.,14,3,not critical,short,short,5.3,316902
Par_B,6,match,cat,there,248,There was a contented cat looking out from the bookstore window.,1,5,not critical,long,normal,5.1,872620
Par_B,6,match,cat,was,48,There was a contented cat looking out from the bookstore window.,2,3,not critical,short,short,5.1,344
Par_B,6,match,cat,a,12,There was a contented cat looking out from the bookstore window.,3,1,not critical,short,short,5.1,2136923
Par_B,6,match,cat,contented,283,There was a contented cat looking out from the bookstore window.,4,9,not critical,long,normal,5.1,25102
Par_B,6,match,cat,cat,21,There was a contented cat looking out from the bookstore window.,5,3,critical,short,short,5.1,3788
Par_B,6,match,cat,looking,111,There was a contented cat looking out from the bookstore window.,6,7,not critical,long,normal,5.1,194816
Par_B,6,match,cat,out,154,There was a contented cat looking out from the bookstore window.,7,3,not critical,long,normal,5.1,27
Par_B,6,match,cat,from,251,There was a contented cat looking out from the bookstore window.,8,4,not critical,long,normal,5.1,88643
Par_B,6,match,cat,the,118,There was a contented cat looking out from the bookstore window.,9,3,not critical,long,normal,5.1,96938
Par_B,6,match,cat,bookstore,195,There was a contented cat looking out from the bookstore window.,10,9,not critical,long,normal,5.1,9764
Par_B,6,match,cat,window,189,There was a contented cat looking out from the bookstore window.,11,6,not critical,long,normal,5.1,23486
Par_B,7,match,cat,the,25,The child told me that ginger cats are by far the cutest of them all.,1,3,not critical,short,short,4.9,96938
Par_B,7,match,cat,child,181,The child told me that ginger cats are by far the cutest of them all.,2,5,not critical,long,normal,4.9,34970
Par_B,7,match,cat,told,44,The child told me that ginger cats are by far the cutest of them all.,3,4,not critical,short,short,4.9,127872
Par_B,7,match,cat,me,46,The child told me that ginger cats are by far the cutest of them all.,4,2,not critical,short,short,4.9,609
Par_B,7,match,cat,that,56,The child told me that ginger cats are by far the cutest of them all.,5,4,not critical,short,short,4.9,114
Par_B,7,match,cat,ginger,163,The child told me that ginger cats are by far the cutest of them all.,6,6,not critical,long,normal,4.9,505413
Par_B,7,match,cat,cats,27,The child told me that ginger cats are by far the cutest of them all.,7,4,not critical,short,short,4.9,459498
Par_B,7,match,cat,are,3,The child told me that ginger cats are by far the cutest of them all.,8,3,not critical,short,short,4.9,291900
Par_B,7,match,cat,by,19,The child told me that ginger cats are by far the cutest of them all.,9,2,not critical,short,short,4.9,39147
Par_B,7,match,cat,far,86,The child told me that ginger cats are by far the cutest of them all.,10,3,not critical,short,short,4.9,6
Par_B,7,match,cat,the,83,The child told me that ginger cats are by far the cutest of them all.,11,3,not critical,short,short,4.9,96938
Par_B,7,match,cat,cutest,173,The child told me that ginger cats are by far the cutest of them all.,12,6,not critical,long,normal,4.9,165536
Par_B,7,match,cat,of,180,The child told me that ginger cats are by far the cutest of them all.,13,2,not critical,long,normal,4.9,5973437
Par_B,7,match,cat,them,41,The child told me that ginger cats are by far the cutest of them all.,14,4,not critical,short,short,4.9,274124
Par_B,7,match,cat,all,21,The child told me that ginger cats are by far the cutest of them all.,15,3,not critical,short,short,4.9,2136923
Par_B,8,match,cat,a,29,A large tom cat was often seen hanging out near the butcher shop.,1,1,not critical,short,short,4.3,2136923
Par_B,8,match,cat,large,226,A large tom cat was often seen hanging out near the butcher shop.,2,5,not critical,long,normal,4.3,33965
Par_B,8,match,cat,tom,346,A large tom cat was often seen hanging out near the butcher shop.,3,3,not critical,long,normal,4.3,5249
Par_B,8,match,cat,cat,487,A large tom cat was often seen hanging out near the butcher shop.,4,3,critical,long,normal,4.3,3788
Par_B,8,match,cat,was,454,A large tom cat was often seen hanging out near the butcher shop.,5,3,not critical,long,normal,4.3,344
Par_B,8,match,cat,often,30,A large tom cat was often seen hanging out near the butcher shop.,6,5,not critical,short,short,4.3,36867
Par_B,8,match,cat,seen,309,A large tom cat was often seen hanging out near the butcher shop.,7,4,not critical,long,normal,4.3,36014
Par_B,8,match,cat,hanging,277,A large tom cat was often seen hanging out near the butcher shop.,8,7,not critical,long,normal,4.3,2868
Par_B,8,match,cat,out,522,A large tom cat was often seen hanging out near the butcher shop.,9,3,not critical,long,long,4.3,27
Par_B,8,match,cat,near,490,A large tom cat was often seen hanging out near the butcher shop.,10,4,not critical,long,normal,4.3,17606
Par_B,8,match,cat,the,431,A large tom cat was often seen hanging out near the butcher shop.,11,3,not critical,long,normal,4.3,96938
Par_B,8,match,cat,butcher,216,A large tom cat was often seen hanging out near the butcher shop.,12,7,not critical,long,normal,4.3,842
Par_B,8,match,cat,shop,569,A large tom cat was often seen hanging out near the butcher shop.,13,4,not critical,long,long,4.3,10310
Par_C,4,match,cat,mary,288,Mary saw a beautiful Siamese cat on her way home from work.,1,4,not critical,long,normal,4.8,6791
Par_C,4,match,cat,saw,357,Mary saw a beautiful Siamese cat on her way home from work.,2,3,not critical,long,normal,4.8,24941
Par_C,4,match,cat,a,294,Mary saw a beautiful Siamese cat on her way home from work.,3,1,not critical,long,normal,4.8,2136923
Par_C,4,match,cat,beautiful,66,Mary saw a beautiful Siamese cat on her way home from work.,4,9,not critical,short,short,4.8,8307
Par_C,4,match,cat,siamese,29,Mary saw a beautiful Siamese cat on her way home from work.,5,7,not critical,short,short,4.8,83
Par_C,4,match,cat,cat,325,Mary saw a beautiful Siamese cat on her way home from work.,6,3,critical,long,normal,4.8,3788
Par_C,4,match,cat,on,313,Mary saw a beautiful Siamese cat on her way home from work.,7,2,not critical,long,normal,4.8,717612
Par_C,4,match,cat,her,285,Mary saw a beautiful Siamese cat on her way home from work.,8,3,not critical,long,normal,4.8,301315
Par_C,4,match,cat,way,319,Mary saw a beautiful Siamese cat on her way home from work.,9,3,not critical,long,normal,4.8,94797
Par_C,4,match,cat,home,285,Mary saw a beautiful Siamese cat on her way home from work.,10,4,not critical,long,normal,4.8,419572
Par_C,4,match,cat,from,268,Mary saw a beautiful Siamese cat on her way home from work.,11,4,not critical,long,normal,4.8,88643
Par_C,4,match,cat,work,409,Mary saw a beautiful Siamese cat on her way home from work.,12,4,not critical,long,normal,4.8,405
Par_C,5,match,cat,joshua,48,Joshua said that purring cats are one of the most relaxing things to him.,1,6,not critical,short,short,5.3,193355
Par_C,5,match,cat,said,239,Joshua said that purring cats are one of the most relaxing things to him.,2,4,not critical,long,normal,5.3,1108428
Par_C,5,match,cat,that,406,Joshua said that purring cats are one of the most relaxing things to him.,3,4,not critical,long,normal,5.3,114
Par_C,5,match,cat,purring,337,Joshua said that purring cats are one of the most relaxing things to him.,4,7,not critical,long,normal,5.3,1530
Par_C,5,match,cat,cats,290,Joshua said that purring cats are one of the most relaxing things to him.,5,4,not critical,long,normal,5.3,459498
Par_C,5,match,cat,are,322,Joshua said that purring cats are one of the most relaxing things to him.,6,3,not critical,long,normal,5.3,291900
Par_C,5,match,cat,one,277,Joshua said that purring cats are one of the most relaxing things to him.,7,3,not critical,long,normal,5.3,3009801
Par_C,5,match,cat,of,353,Joshua said that purring cats are one of the most relaxing things to him.,8,2,not critical,long,normal,5.3,5973437
Par_C,5,match,cat,the,279,Joshua said that purring cats are one of the most relaxing things to him.,9,3,not critical,long,normal,5.3,96938
Par_C,5,match,cat,most,350,Joshua said that purring cats are one of the most relaxing things to him.,10,4,not critical,long,normal,5.3,665
Par_C,5,match,cat,relaxing,325,Joshua said that purring cats are one of the most relaxing things to him.,11,8,not critical,long,normal,5.3,40472
Par_C,5,match,cat,things,23,Joshua said that purring cats are one of the most relaxing things to him.,12,6,not critical,short,short,5.3,2565070
Par_C,5,match,cat,to,260,Joshua said that purring cats are one of the most relaxing things to him.,13,2,not critical,long,normal,5.3,152045
Par_C,5,match,cat,him,265,Joshua said that purring cats are one of the most relaxing things to him.,14,3,not critical,long,normal,5.3,316902
Par_C,6,match,cat,there,32,There was a contented cat looking out from the bookstore window.,1,5,not critical,short,short,5.1,872620
Par_C,6,match,cat,was,412,There was a contented cat looking out from the bookstore window.,2,3,not critical,long,normal,5.1,344
Par_C,6,match,cat,a,225,There was a contented cat looking out from the bookstore window.,3,1,not critical,long,normal,5.1,2136923
Par_C,6,match,cat,contented,6,There was a contented cat looking out from the bookstore window.,4,9,not critical,short,short,5.1,25102
Par_C,6,match,cat,cat,391,There was a contented cat looking out from the bookstore window.,5,3,critical,long,normal,5.1,3788
Par_C,6,match,cat,looking,26,There was a contented cat looking out from the bookstore window.,6,7,not critical,short,short,5.1,194816
Par_C,6,match,cat,out,405,There was a contented cat looking out from the bookstore window.,7,3,not critical,long,normal,5.1,27
Par_C,6,match,cat,from,367,There was a contented cat looking out from the bookstore window.,8,4,not critical,long,normal,5.1,88643
Par_C,6,match,cat,the,296,There was a contented cat looking out from the bookstore window.,9,3,not critical,long,normal,5.1,96938
Par_C,6,match,cat,bookstore,314,There was a contented cat looking out from the bookstore window.,10,9,not critical,long,normal,5.1,9764
Par_C,6,match,cat,window,121,There was a contented cat looking out from the bookstore window.,11,6,not critical,long,normal,5.1,23486
Par_C,7,match,cat,the,406,The child told me that ginger cats are by far the cutest of them all.,1,3,not critical,long,normal,4.9,96938
Par_C,7,match,cat,child,168,The child told me that ginger cats are by far the cutest of them all.,2,5,not critical,long,normal,4.9,34970
Par_C,7,match,cat,told,423,The child told me that ginger cats are by far the cutest of them all.,3,4,not critical,long,normal,4.9,127872
Par_C,7,match,cat,me,409,The child told me that ginger cats are by far the cutest of them all.,4,2,not critical,long,normal,4.9,609
Par_C,7,match,cat,that,377,The child told me that ginger cats are by far the cutest of them all.,5,4,not critical,long,normal,4.9,114
Par_C,7,match,cat,ginger,29,The child told me that ginger cats are by far the cutest of them all.,6,6,not critical,short,short,4.9,505413
Par_C,7,match,cat,cats,344,The child told me that ginger cats are by far the cutest of them all.,7,4,not critical,long,normal,4.9,459498
Par_C,7,match,cat,are,251,The child told me that ginger cats are by far the cutest of them all.,8,3,not critical,long,normal,4.9,291900
Par_C,7,match,cat,by,373,The child told me that ginger cats are by far the cutest of them all.,9,2,not critical,long,normal,4.9,39147
Par_C,7,match,cat,far,432,The child told me that ginger cats are by far the cutest of them all.,10,3,not critical,long,normal,4.9,6
Par_C,7,match,cat,the,395,The child told me that ginger cats are by far the cutest of them all.,11,3,not critical,long,normal,4.9,96938
Par_C,7,match,cat,cutest,16,The child told me that ginger cats are by far the cutest of them all.,12,6,not critical,short,short,4.9,165536
Par_C,7,match,cat,of,287,The child told me that ginger cats are by far the cutest of them all.,13,2,not critical,long,normal,4.9,5973437
Par_C,7,match,cat,them,250,The child told me that ginger cats are by far the cutest of them all.,14,4,not critical,long,normal,4.9,274124
Par_C,7,match,cat,all,226,The child told me that ginger cats are by far the cutest of them all.,15,3,not critical,long,normal,4.9,2136923
Par_C,8,match,cat,a,316,A large tom cat was often seen hanging out near the butcher shop.,1,1,not critical,long,normal,4.3,2136923
Par_C,8,match,cat,large,244,A large tom cat was often seen hanging out near the butcher shop.,2,5,not critical,long,normal,4.3,33965
Par_C,8,match,cat,tom,538,A large tom cat was often seen hanging out near the butcher shop.,3,3,not critical,long,long,4.3,5249
Par_C,8,match,cat,cat,431,A large tom cat was often seen hanging out near the butcher shop.,4,3,critical,long,normal,4.3,3788
Par_C,8,match,cat,was,650,A large tom cat was often seen hanging out near the butcher shop.,5,3,not critical,long,long,4.3,344
Par_C,8,match,cat,often,163,A large tom cat was often seen hanging out near the butcher shop.,6,5,not critical,long,normal,4.3,36867
Par_C,8,match,cat,seen,468,A large tom cat was often seen hanging out near the butcher shop.,7,4,not critical,long,normal,4.3,36014
Par_C,8,match,cat,hanging,179,A large tom cat was often seen hanging out near the butcher shop.,8,7,not critical,long,normal,4.3,2868
Par_C,8,match,cat,out,375,A large tom cat was often seen hanging out near the butcher shop.,9,3,not critical,long,normal,4.3,27
Par_C,8,match,cat,near,454,A large tom cat was often seen hanging out near the butcher shop.,10,4,not critical,long,normal,4.3,17606
Par_C,8,match,cat,the,564,A large tom cat was often seen hanging out near the butcher shop.,11,3,not critical,long,long,4.3,96938
Par_C,8,match,cat,butcher,112,A large tom cat was often seen hanging out near the butcher shop.,12,7,not critical,long,normal,4.3,842
Par_C,8,match,cat,shop,487,A large tom cat was often seen hanging out near the butcher shop.,13,4,not critical,long,normal,4.3,10310
Par_D,4,match,cat,mary,342,Mary saw a beautiful Siamese cat on her way home from work.,1,4,not critical,long,normal,4.8,6791
Par_D,4,match,cat,saw,514,Mary saw a beautiful Siamese cat on her way home from work.,2,3,not critical,long,long,4.8,24941
Par_D,4,match,cat,a,554,Mary saw a beautiful Siamese cat on her way home from work.,3,1,not critical,long,long,4.8,2136923
Par_D,4,match,cat,beautiful,225,Mary saw a beautiful Siamese cat on her way home from work.,4,9,not critical,long,normal,4.8,8307
Par_D,4,match,cat,siamese,279,Mary saw a beautiful Siamese cat on her way home from work.,5,7,not critical,long,normal,4.8,83
Par_D,4,match,cat,cat,590,Mary saw a beautiful Siamese cat on her way home from work.,6,3,critical,long,long,4.8,3788
Par_D,4,match,cat,on,357,Mary saw a beautiful Siamese cat on her way home from work.,7,2,not critical,long,normal,4.8,717612
Par_D,4,match,cat,her,421,Mary saw a beautiful Siamese cat on her way home from work.,8,3,not critical,long,normal,4.8,301315
Par_D,4,match,cat,way,482,Mary saw a beautiful Siamese cat on her way home from work.,9,3,not critical,long,normal,4.8,94797
Par_D,4,match,cat,home,438,Mary saw a beautiful Siamese cat on her way home from work.,10,4,not critical,long,normal,4.8,419572
Par_D,4,match,cat,from,517,Mary saw a beautiful Siamese cat on her way home from work.,11,4,not critical,long,long,4.8,88643
Par_D,4,match,cat,work,478,Mary saw a beautiful Siamese cat on her way home from work.,12,4,not critical,long,normal,4.8,405
Par_D,5,match,cat,joshua,263,Joshua said that purring cats are one of the most relaxing things to him.,1,6,not critical,long,normal,5.3,193355
Par_D,5,match,cat,said,501,Joshua said that purring cats are one of the most relaxing things to him.,2,4,not critical,long,long,5.3,1108428
Par_D,5,match,cat,that,522,Joshua said that purring cats are one of the most relaxing things to him.,3,4,not critical,long,long,5.3,114
Par_D,5,match,cat,purring,419,Joshua said that purring cats are one of the most relaxing things to him.,4,7,not critical,long,normal,5.3,1530
Par_D,5,match,cat,cats,549,Joshua said that purring cats are one of the most relaxing things to him.,5,4,not critical,long,long,5.3,459498
Par_D,5,match,cat,are,516,Joshua said that purring cats are one of the most relaxing things to him.,6,3,not critical,long,long,5.3,291900
Par_D,5,match,cat,one,616,Joshua said that purring cats are one of the most relaxing things to him.,7,3,not critical,long,long,5.3,3009801
Par_D,5,match,cat,of,616,Joshua said that purring cats are one of the most relaxing things to him.,8,2,not critical,long,long,5.3,5973437
Par_D,5,match,cat,the,538,Joshua said that purring cats are one of the most relaxing things to him.,9,3,not critical,long,long,5.3,96938
Par_D,5,match,cat,most,533,Joshua said that purring cats are one of the most relaxing things to him.,10,4,not critical,long,long,5.3,665
Par_D,5,match,cat,relaxing,190,Joshua said that purring cats are one of the most relaxing things to him.,11,8,not critical,long,normal,5.3,40472
Par_D,5,match,cat,things,92,Joshua said that purring cats are one of the most relaxing things to him.,12,6,not critical,short,short,5.3,2565070
Par_D,5,match,cat,to,462,Joshua said that purring cats are one of the most relaxing things to him.,13,2,not critical,long,normal,5.3,152045
Par_D,5,match,cat,him,529,Joshua said that purring cats are one of the most relaxing things to him.,14,3,not critical,long,long,5.3,316902
Par_D,6,match,cat,there,407,There was a contented cat looking out from the bookstore window.,1,5,not critical,long,normal,5.1,872620
Par_D,6,match,cat,was,579,There was a contented cat looking out from the bookstore window.,2,3,not critical,long,long,5.1,344
Par_D,6,match,cat,a,557,There was a contented cat looking out from the bookstore window.,3,1,not critical,long,long,5.1,2136923
Par_D,6,match,cat,contented,455,There was a contented cat looking out from the bookstore window.,4,9,not critical,long,normal,5.1,25102
Par_D,6,match,cat,cat,533,There was a contented cat looking out from the bookstore window.,5,3,critical,long,long,5.1,3788
Par_D,6,match,cat,looking,396,There was a contented cat looking out from the bookstore window.,6,7,not critical,long,normal,5.1,194816
Par_D,6,match,cat,out,663,There was a contented cat looking out from the bookstore window.,7,3,not critical,long,long,5.1,27
Par_D,6,match,cat,from,533,There was a contented cat looking out from the bookstore window.,8,4,not critical,long,long,5.1,88643
Par_D,6,match,cat,the,576,There was a contented cat looking out from the bookstore window.,9,3,not critical,long,long,5.1,96938
Par_D,6,match,cat,bookstore,40,There was a contented cat looking out from the bookstore window.,10,9,not critical,short,short,5.1,9764
Par_D,6,match,cat,window,48,There was a contented cat looking out from the bookstore window.,11,6,not critical,short,short,5.1,23486
Par_D,7,match,cat,the,725,The child told me that ginger cats are by far the cutest of them all.,1,3,not critical,long,long,4.9,96938
Par_D,7,match,cat,child,234,The child told me that ginger cats are by far the cutest of them all.,2,5,not critical,long,normal,4.9,34970
Par_D,7,match,cat,told,636,The child told me that ginger cats are by far the cutest of them all.,3,4,not critical,long,long,4.9,127872
Par_D,7,match,cat,me,612,The child told me that ginger cats are by far the cutest of them all.,4,2,not critical,long,long,4.9,609
Par_D,7,match,cat,that,594,The child told me that ginger cats are by far the cutest of them all.,5,4,not critical,long,long,4.9,114
